"c_deklaag"	"kwelmm"	"min_lensdikte"	"gem_lensdikte"	"max_lensdikte"	"P"
1000	0.384298782138643	1.42648881078683	2.47413258716578	2.7754307203374	0.258636758965728
1100	0.358730846748727	1.45187329513033	2.500045187794	2.80140258130323	0.255825999880423
1200	0.336523286769074	1.47547050694146	2.52410184871133	2.82551075817911	0.253272399634701
1300	0.317039304266542	1.49752218248093	2.54655719595104	2.84801133725204	0.250935748555702
1400	0.299795566647366	1.51822349554848	2.567616212786	2.86911041169301	0.248784393143874
1500	0.284418204916196	1.53773438807117	2.5874464468537	2.88897638873788	0.246792991620192
1600	0.270613222225351	1.55618763294534	2.60618666442766	2.9077487113643	0.244940956567435
1700	0.258146066984634	1.57369470306672	2.62395312891445	2.92554418339076	0.243211347515902
1800	0.246827206951026	1.59035012871387	2.64084424817693	2.94246164975719	0.241590066469295
1900	0.23650173444069	1.6062347893942	2.65694407579995	2.95858552156824	0.240065262403398
2000	0.227041741224627	1.62141843940134	2.67232499060073	2.97398847306588	0.238626883035834
2100	0.218340635018934	1.63596167238017	2.6870497761729	2.98873353420265	0.237266332377323
2200	0.210308841791579	1.64991746859284	2.70117325525362	3.00287573487054	0.235976205568557
2300	0.202870513385783	1.66333242728316	2.71474358892577	3.01646341166473	0.234750081055934
2400	0.195960975246769	1.67624775828944	2.72780332012385	3.029539257256	0.233582355903396
2500	0.18952472635507	1.6887000874076	2.74039021972053	3.04214117107802	0.23246811396806
2600	0.183513856255283	1.70072211609961	2.75253797850894	3.05430295495342	0.23140301940453
2700	0.177886780697511	1.71234316614962	2.76427677766858	3.06605488647206	0.230383229899205
2800	0.172607223199185	1.72358963261278	2.77563376252781	3.07742419510081	0.22940532542355
2900	0.167643388252142	1.73448536303505	2.78663343869911	3.08843546022546	0.228466249305486
3000	0.162967285214434	1.74505197693567	2.7972980054081	3.0991109460398	0.227563259159973
3100	0.158554171664177	1.75530913653327	2.80764763763057	3.10947088496765	0.226693885772423
3200	0.154382092198398	1.76527477740719	2.81770072621671	3.11953371885229	0.225855898443778
3300	0.15043149404147	1.77496530602094	2.82747408330811	3.12931630526171	0.225047275621833
3400	0.146684904883997	1.78439576967929	2.83698311891594	3.13883409481143	0.224266179884192
3500	0.143126661461606	1.79358000342631	2.84624199340142	3.14810128427271	0.223510936524809
3600	0.139742679755958	1.80253075754272	2.85526374970303	3.15713094933133	0.222780015142241
3700	0.136520259527116	1.81125980865239	2.8640604284689	3.16593516017247	0.222072013740417
3800	0.133447917316649	1.81977805690845	2.87264316868484	3.1745250824952	0.221385644943555
3900	0.130515243182091	1.82809561130511	2.88102229594067	3.1829110661107	0.220719723998408
4000	0.127712777303251	1.83622186481797	2.88920740011676	3.19110272291463	0.22007315829424
