"c_deklaag"	"kwelmm"	"min_lensdikte"	"gem_lensdikte"	"max_lensdikte"	"P"
1000	0.396176054318289	1.41527928296897	2.46267803994855	2.76394866293026	0.259899686383267
1100	0.369374481419756	1.4410879679414	2.48903990087513	2.79037261838876	0.257012009091543
1200	0.346139626265788	1.4650627665259	2.5134950722878	2.81488166921785	0.254391792119638
1300	0.325788631399927	1.48745348914397	2.5363071668773	2.83774099279689	0.251996806713265
1400	0.307804658359747	1.508461538715	2.55768806338553	2.85916365389032	0.249793884455641
1500	0.291788916237181	1.528251752313	2.57781070192069	2.87932350892795	0.247756523259778
1600	0.277428510042575	1.54696081165817	2.59681813584308	2.89836433105573	0.245863231007497
1700	0.264474313687079	1.56470335483437	2.61483008626399	2.91640641506959	0.24409635073969
1800	0.252725385905536	1.58157650696154	2.6319477854357	2.93355145637866	0.242441209170846
1900	0.242017768570195	1.59766329827274	2.64825762016955	2.94988622002685	0.240885487683652
2000	0.232216288096838	1.61303528325904	2.66383391628405	2.96548534390267	0.239418749762958
2100	0.223208457005862	1.62775457572983	2.67874109687851	2.98041351098379	0.238032080567373
2200	0.21489987117033	1.64187544993869	2.69303537662933	2.99472715418836	0.236717808278286
2300	0.207210689883807	1.65544561462877	2.70676610721097	3.00847580987526	0.23546928601694
2400	0.200072911593886	1.66850723728039	2.71997685687374	3.02170320368013	0.234280719255353
2500	0.193428242263096	1.68109777530395	2.73270628499481	3.03444812996717	0.233147027836576
2600	0.187226410634329	1.6932506563838	2.74498885673741	3.04674517036439	0.232063734633903
2700	0.181423824359705	1.70499583977777	2.75685543175798	3.05862528556473	0.231026874933749
2800	0.175982488851639	1.71636028279457	2.76833375275955	3.07011630637014	0.230032922100675
2900	0.170869130601002	1.72736833109829	2.77944885371734	3.08124334393798	0.229078726151769
3000	0.166054481057372	1.73804204733672	2.79022340316139	3.09202913471534	0.228161462652951
3100	0.161512687653812	1.74840148946436	2.80067799456404	3.10249433218558	0.2272785899332
3200	0.157220826298636	1.7584649477516	2.81083139334438	3.11265775499836	0.2264278130511
3300	0.153158495437854	1.76824914764447	2.82070074805828	3.12253659909728	0.225607053280448
3400	0.1493074761369	1.7777694242332	2.8303017718482	3.13214661995518	0.224814422135386
3500	0.145651445942994	1.78703987297868	2.83964889905096	3.14150228984338	0.224048199152241
3600	0.142175736818958	1.79607348048297	2.84875542094754	3.15061693414135	0.223306812797514
3700	0.138867129402527	1.80488223839625	2.85763360390496	3.15950284995453	0.222588823991685
3800	0.135713677360513	1.81347724301805	2.86629479259557	3.1681714097402	0.221892911831816
3900	0.132704556809821	1.82186878269566	2.87474950049906	3.17663315215804	0.221217861172248
4000	0.129829936713395	1.83006641477513	2.88300748952644	3.18489786199431	0.220562551782094
